date,track,artist,streams,day_of_week,week_of_year
2021-11-25,All I Want for Christmas Is You,Mariah Carey,13419806,Thursday,47
2021-11-25,It's Beginning to Look a Lot Like Christmas,Michael Bublé,8230538,Thursday,47
2021-11-25,Jingle Bell Rock,Bobby Helms,7804649,Thursday,47
2021-11-25,Last Christmas,Wham!,9852395,Thursday,47
2021-11-25,Rockin' Around the Christmas Tree,Brenda Lee,7417614,Thursday,47
2021-11-25,Santa Tell Me,Ariana Grande,7168631,Thursday,47
2021-12-02,All I Want for Christmas Is You,Mariah Carey,24176108,Thursday,48
2021-12-02,Feliz Navidad,José Feliciano,10073595,Thursday,48
2021-12-02,It's Beginning to Look a Lot Like Christmas,Michael Bublé,15504798,Thursday,48
2021-12-02,Jingle Bell Rock,Bobby Helms,14983449,Thursday,48
2021-12-02,Last Christmas,Wham!,19349663,Thursday,48
2021-12-02,Rockin' Around the Christmas Tree,Brenda Lee,14460190,Thursday,48
2021-12-02,Santa Tell Me,Ariana Grande,13437236,Thursday,48
2021-12-09,All I Want for Christmas Is You,Mariah Carey,30344322,Thursday,49
2021-12-09,Feliz Navidad,José Feliciano,13402203,Thursday,49
2021-12-09,It's Beginning to Look a Lot Like Christmas,Michael Bublé,19902694,Thursday,49
2021-12-09,Jingle Bell Rock,Bobby Helms,19754610,Thursday,49
2021-12-09,Last Christmas,Wham!,24943790,Thursday,49
2021-12-09,Rockin' Around the Christmas Tree,Brenda Lee,19430205,Thursday,49
2021-12-09,Santa Tell Me,Ariana Grande,17670168,Thursday,49
2021-12-16,All I Want for Christmas Is You,Mariah Carey,32175593,Thursday,50
2021-12-16,Feliz Navidad,José Feliciano,15099567,Thursday,50
2021-12-16,It's Beginning to Look a Lot Like Christmas,Michael Bublé,21259884,Thursday,50
2021-12-16,Jingle Bell Rock,Bobby Helms,21479503,Thursday,50
2021-12-16,Last Christmas,Wham!,27077848,Thursday,50
2021-12-16,Rockin' Around the Christmas Tree,Brenda Lee,22095540,Thursday,50
2021-12-16,Santa Tell Me,Ariana Grande,19655526,Thursday,50
2021-12-23,All I Want for Christmas Is You,Mariah Carey,41518285,Thursday,51
2021-12-23,Feliz Navidad,José Feliciano,20663443,Thursday,51
2021-12-23,It's Beginning to Look a Lot Like Christmas,Michael Bublé,27551436,Thursday,51
2021-12-23,Jingle Bell Rock,Bobby Helms,28959509,Thursday,51
2021-12-23,Last Christmas,Wham!,36107065,Thursday,51
2021-12-23,Rockin' Around the Christmas Tree,Brenda Lee,30343074,Thursday,51
2021-12-23,Santa Tell Me,Ariana Grande,25964611,Thursday,51
2021-12-30,All I Want for Christmas Is You,Mariah Carey,38691349,Thursday,52
2021-12-30,Feliz Navidad,José Feliciano,21021159,Thursday,52
2021-12-30,It's Beginning to Look a Lot Like Christmas,Michael Bublé,25811527,Thursday,52
2021-12-30,Jingle Bell Rock,Bobby Helms,27275884,Thursday,52
2021-12-30,Last Christmas,Wham!,33973886,Thursday,52
2021-12-30,Rockin' Around the Christmas Tree,Brenda Lee,27687876,Thursday,52
2021-12-30,Santa Tell Me,Ariana Grande,23777493,Thursday,52
2022-11-10,All I Want for Christmas Is You,Mariah Carey,8569420,Thursday,45
2022-11-17,All I Want for Christmas Is You,Mariah Carey,12137477,Thursday,46
2022-11-17,Jingle Bell Rock,Bobby Helms,7084762,Thursday,46
2022-11-17,Last Christmas,Wham!,8237725,Thursday,46
2022-11-17,Rockin' Around the Christmas Tree,Brenda Lee,7517013,Thursday,46
2022-11-24,All I Want for Christmas Is You,Mariah Carey,18916682,Thursday,47
2022-11-24,It's Beginning to Look a Lot Like Christmas,Michael Bublé,11312189,Thursday,47
2022-11-24,Jingle Bell Rock,Bobby Helms,11660973,Thursday,47
2022-11-24,Last Christmas,Wham!,13983131,Thursday,47
2022-11-24,Rockin' Around the Christmas Tree,Brenda Lee,12680089,Thursday,47
2022-11-24,Santa Tell Me,Ariana Grande,10280626,Thursday,47
2022-12-01,All I Want for Christmas Is You,Mariah Carey,27676347,Thursday,48
2022-12-01,Feliz Navidad,José Feliciano,11596742,Thursday,48
2022-12-01,It's Beginning to Look a Lot Like Christmas,Michael Bublé,18026042,Thursday,48
2022-12-01,Jingle Bell Rock,Bobby Helms,18954484,Thursday,48
2022-12-01,Last Christmas,Wham!,22329568,Thursday,48
2022-12-01,Rockin' Around the Christmas Tree,Brenda Lee,21093738,Thursday,48
2022-12-01,Santa Tell Me,Ariana Grande,15813791,Thursday,48
2022-12-08,All I Want for Christmas Is You,Mariah Carey,37016166,Thursday,49
2022-12-08,Feliz Navidad,José Feliciano,16626089,Thursday,49
2022-12-08,It's Beginning to Look a Lot Like Christmas,Michael Bublé,24301141,Thursday,49
2022-12-08,Jingle Bell Rock,Bobby Helms,24811088,Thursday,49
2022-12-08,Last Christmas,Wham!,31520346,Thursday,49
2022-12-08,Rockin' Around the Christmas Tree,Brenda Lee,28827742,Thursday,49
2022-12-08,Santa Tell Me,Ariana Grande,21920746,Thursday,49
2022-12-15,All I Want for Christmas Is You,Mariah Carey,41921397,Thursday,50
2022-12-15,Feliz Navidad,José Feliciano,20281372,Thursday,50
2022-12-15,It's Beginning to Look a Lot Like Christmas,Michael Bublé,27389287,Thursday,50
2022-12-15,Jingle Bell Rock,Bobby Helms,29842872,Thursday,50
2022-12-15,Last Christmas,Wham!,36598697,Thursday,50
2022-12-15,Rockin' Around the Christmas Tree,Brenda Lee,34725307,Thursday,50
2022-12-15,Santa Tell Me,Ariana Grande,24641305,Thursday,50
2022-12-22,All I Want for Christmas Is You,Mariah Carey,48156836,Thursday,51
2022-12-22,Feliz Navidad,José Feliciano,25449827,Thursday,51
2022-12-22,It's Beginning to Look a Lot Like Christmas,Michael Bublé,31885806,Thursday,51
2022-12-22,Jingle Bell Rock,Bobby Helms,35707249,Thursday,51
2022-12-22,Last Christmas,Wham!,43177189,Thursday,51
2022-12-22,Rockin' Around the Christmas Tree,Brenda Lee,40917945,Thursday,51
2022-12-22,Santa Tell Me,Ariana Grande,28754864,Thursday,51
2022-12-29,All I Want for Christmas Is You,Mariah Carey,57651756,Thursday,52
2022-12-29,Feliz Navidad,José Feliciano,34335283,Thursday,52
2022-12-29,It's Beginning to Look a Lot Like Christmas,Michael Bublé,39394212,Thursday,52
2022-12-29,Jingle Bell Rock,Bobby Helms,44144398,Thursday,52
2022-12-29,Last Christmas,Wham!,52683220,Thursday,52
2022-12-29,Rockin' Around the Christmas Tree,Brenda Lee,48147082,Thursday,52
2022-12-29,Santa Tell Me,Ariana Grande,34113273,Thursday,52
2023-11-09,All I Want for Christmas Is You,Mariah Carey,11713143,Thursday,45
2023-11-09,Last Christmas,Wham!,9447986,Thursday,45
2023-11-16,All I Want for Christmas Is You,Mariah Carey,14923197,Thursday,46
2023-11-16,Jingle Bell Rock,Bobby Helms,8609753,Thursday,46
2023-11-16,Last Christmas,Wham!,13109310,Thursday,46
2023-11-16,Rockin' Around the Christmas Tree,Brenda Lee,8472546,Thursday,46
2023-11-16,Santa Tell Me,Ariana Grande,8185135,Thursday,46
2023-11-23,All I Want for Christmas Is You,Mariah Carey,21632325,Thursday,47
2023-11-23,It's Beginning to Look a Lot Like Christmas,Michael Bublé,10757784,Thursday,47
2023-11-23,Jingle Bell Rock,Bobby Helms,13175644,Thursday,47
2023-11-23,Last Christmas,Wham!,19385469,Thursday,47
2023-11-23,Rockin' Around the Christmas Tree,Brenda Lee,15066957,Thursday,47
2023-11-23,Santa Tell Me,Ariana Grande,11469200,Thursday,47
2023-11-30,All I Want for Christmas Is You,Mariah Carey,33728604,Thursday,48
2023-11-30,Feliz Navidad,José Feliciano,12517113,Thursday,48
2023-11-30,It's Beginning to Look a Lot Like Christmas,Michael Bublé,18224117,Thursday,48
2023-11-30,Jingle Bell Rock,Bobby Helms,22186368,Thursday,48
2023-11-30,Last Christmas,Wham!,30556258,Thursday,48
2023-11-30,Rockin' Around the Christmas Tree,Brenda Lee,26940388,Thursday,48
